timestamp,pololu_acc_x,pololu_acc_y,pololu_acc_z,pololu_gyr_x,pololu_gyr_y,pololu_gyr_z,pololu_mag_x,pololu_mag_y,pololu_mag_z,pololu_baro
52189.60156,-9.862991333,-0.201187775,-0.067062594,0.005326485,-0.002130594,-0.012783564,0.604998946,-0.182134464,-0.167973876,97957.9375
52195.10156,-9.848620415,-0.119754635,-0.100593887,0.006391782,-0.001065297,-0.011718267,0.596697927,-0.181157872,-0.166508988,97954.07813
52200.60156,-9.786348343,-0.129335001,-0.100593887,0.004261188,-0.003195891,-0.01065297,0.587420285,-0.180669576,-0.168462172,97948.875
52206.10156,-9.819879532,-0.158076108,-0.071852781,0.004261188,-0.005326485,-0.009587673,0.591814935,-0.181157872,-0.168950468,97950.60938
52211.60156,-9.862991333,-0.177236855,-0.047901854,0.006391782,-0.008522375,-0.006391782,0.59816277,-0.181646168,-0.169927061,97950.60938
52217.10156,-9.795928955,-0.153285921,-0.062272407,0.004261188,-0.01065297,-0.005326485,0.594256401,-0.180669576,-0.166997284,97956.73438
52222.60156,-9.819879532,-0.210768148,-0.03832148,0.004261188,-0.012783564,-0.003195891,0.591326654,-0.183111057,-0.170415357,97957.42188
52228.10156,-9.853410721,-0.210768148,-0.03832148,0.005326485,-0.013848861,-0.003195891,0.594256401,-0.185064241,-0.17383343,97954.92969
52233.60156,-9.862991333,-0.134125188,-0.052692037,0.006391782,-0.013848861,-0.001065297,0.596697927,-0.183599353,-0.171880245,97951.5625
52239.10156,-9.88694191,-0.153285921,-0.03832148,0.005326485,-0.014914157,-0.002130594,0.598651111,-0.18018128,-0.171880245,97951.6875
52244.60156,-9.848620415,-0.158076108,-0.043111667,0.004261188,-0.013848861,-0.002130594,0.600604296,-0.179204687,-0.172368541,97956.66406
52250.10156,-9.872571945,-0.124544814,-0.01916074,0.005326485,-0.012783564,-0.003195891,0.593279839,-0.184575945,-0.173345134,97955.34375
52255.60156,-9.88694191,-0.052692037,-0.057482224,0.005326485,-0.011718267,-0.004261188,0.596697927,-0.182134464,-0.170903653,97955.95313
52261.10156,-9.901312828,-0.110174261,-0.062272407,0.004261188,-0.011718267,-0.005326485,0.590838373,-0.180669576,-0.168950468,97957.74219
52266.60156,-9.915683746,-0.148495749,-0.03832148,0.004261188,-0.01065297,-0.006391782,0.593279839,-0.181157872,-0.170415357,97954.49219
52272.10156,-9.896522522,-0.110174261,-0.052692037,0.005326485,-0.008522375,-0.006391782,0.588396847,-0.181646168,-0.168462172,97955.03125
52277.60156,-9.91089344,-0.091013521,-0.033531297,0.005326485,-0.006391782,-0.008522375,0.605487227,-0.181646168,-0.171391949,97956.54688
52283.10156,-9.901312828,-0.105384074,-0.052692037,0.004261188,-0.004261188,-0.011718267,0.594256401,-0.181157872,-0.167973876,97954.78125
52288.60156,-9.901312828,-0.143705562,-0.03832148,0.005326485,-0.002130594,-0.012783564,0.596209586,-0.178228095,-0.171880245,97953.90625
52294.10156,-9.915683746,-0.114964448,-0.062272407,0.006391782,-0.001065297,-0.012783564,0.593279839,-0.176763207,-0.168462172,97952.41406
52299.60156,-9.88694191,-0.071852781,-0.052692037,0.005326485,0,-0.013848861,0.601092577,-0.183599353,-0.172856838,97950.73438
52305.10156,-9.882152557,-0.143705562,-0.043111667,0.004261188,0.001065297,-0.014914157,0.59376812,-0.181646168,-0.17383343,97952.97656
52310.60156,-9.853410721,-0.167656481,-0.028741112,0.006391782,0.001065297,-0.013848861,0.592303216,-0.180669576,-0.168462172,97954.07813
52316.10156,-9.843831062,-0.119754635,-0.062272407,0.006391782,0.002130594,-0.014914157,0.597674489,-0.177251503,-0.171880245,97952.60938
52321.60156,-9.829460144,-0.196397603,-0.023950927,0.005326485,0.001065297,-0.013848861,0.589373469,-0.179204687,-0.170903653,97951.46875
52327.10156,-9.81029892,-0.167656481,-0.03832148,0.005326485,-0.001065297,-0.012783564,0.601580858,-0.181157872,-0.171391949,97952.21875
52332.60156,-9.824669838,-0.172446668,-0.033531297,0.006391782,-0.002130594,-0.011718267,0.597186208,-0.180669576,-0.170415357,97952.21875
52338.10156,-9.839040756,-0.177236855,-0.047901854,0.004261188,-0.004261188,-0.011718267,0.599139392,-0.18018128,-0.173345134,97954.39063
52343.60156,-9.843831062,-0.182027042,-0.057482224,0.004261188,-0.005326485,-0.009587673,0.597674489,-0.177739799,-0.170903653,97955.39844
52349.10156,-9.829460144,-0.138915375,-0.086223334,0.005326485,-0.005326485,-0.008522375,0.594744742,-0.179204687,-0.170903653,97955.07813
52354.60156,-9.839040756,-0.143705562,-0.057482224,0.004261188,-0.006391782,-0.008522375,0.601580858,-0.179692984,-0.170415357,97954.44531
52360.10156,-9.843831062,-0.167656481,-0.07664296,0.004261188,-0.008522375,-0.008522375,0.596209586,-0.181157872,-0.170903653,97956.9375
52365.60156,-9.848620415,-0.196397603,-0.07664296,0.005326485,-0.008522375,-0.007457078,0.604510665,-0.181646168,-0.171391949,97956.125
52371.10156,-9.858201027,-0.129335001,-0.086223334,0.005326485,-0.008522375,-0.007457078,0.596209586,-0.181157872,-0.171391949,97955.125
52376.60156,-9.858201027,-0.124544814,-0.110174261,0.005326485,-0.008522375,-0.006391782,0.602069139,-0.181646168,-0.168462172,97958.10938
52382.10156,-9.848620415,-0.172446668,-0.057482224,0.004261188,-0.009587673,-0.006391782,0.599139392,-0.179204687,-0.167973876,97957.57031
52387.60156,-9.839040756,-0.162866294,-0.052692037,0.004261188,-0.008522375,-0.006391782,0.594744742,-0.182622761,-0.170415357,97956.71094
